PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20171013,TSLA,TESLA INC,355.57001,-0.000309,15
93436,20171016,TSLA,TESLA INC,350.60001,-0.013978,15
93436,20171017,TSLA,TESLA INC,355.75000,0.014689,15
93436,20171018,TSLA,TESLA INC,359.64999,0.010963,15
93436,20171019,TSLA,TESLA INC,351.81000,-0.021799,15
93436,20171020,TSLA,TESLA INC,345.10001,-0.019073,15
93436,20171023,TSLA,TESLA INC,337.01999,-0.023414,15
93436,20171024,TSLA,TESLA INC,337.34000,0.000950,15
93436,20171025,TSLA,TESLA INC,325.84000,-0.034090,15
93436,20171026,TSLA,TESLA INC,326.17001,0.001013,15
93436,20171027,TSLA,TESLA INC,320.87000,-0.016249,15
93436,20171030,TSLA,TESLA INC,320.07999,-0.002462,15
93436,20171031,TSLA,TESLA INC,331.53000,0.035772,15
93436,20171101,TSLA,TESLA INC,321.07999,-0.031521,15
93436,20171102,TSLA,TESLA INC,299.26001,-0.067958,15
93436,20171103,TSLA,TESLA INC,306.09000,0.022823,15
93436,20171106,TSLA,TESLA INC,302.78000,-0.010814,15
93436,20171107,TSLA,TESLA INC,306.04999,0.010800,15
93436,20171108,TSLA,TESLA INC,304.39001,-0.005424,15
93436,20171109,TSLA,TESLA INC,302.98999,-0.004599,15
93436,20171110,TSLA,TESLA INC,302.98999,0.000000,15
93436,20171113,TSLA,TESLA INC,315.39999,0.040958,15
93436,20171114,TSLA,TESLA INC,308.70001,-0.021243,15
93436,20171115,TSLA,TESLA INC,311.29999,0.008422,15
93436,20171116,TSLA,TESLA INC,312.50000,0.003855,15
93436,20171117,TSLA,TESLA INC,315.04999,0.008160,15
93436,20171120,TSLA,TESLA INC,308.73999,-0.020029,15
93436,20171121,TSLA,TESLA INC,317.81000,0.029377,15
93436,20171122,TSLA,TESLA INC,312.60001,-0.016393,15
93436,20171124,TSLA,TESLA INC,315.54999,0.009437,15
93436,20171127,TSLA,TESLA INC,316.81000,0.003993,15
93436,20171128,TSLA,TESLA INC,317.54999,0.002336,15
93436,20171129,TSLA,TESLA INC,307.54001,-0.031523,15
93436,20171130,TSLA,TESLA INC,308.85001,0.004260,15
93436,20171201,TSLA,TESLA INC,306.53000,-0.007512,15
93436,20171204,TSLA,TESLA INC,305.20001,-0.004339,15
93436,20171205,TSLA,TESLA INC,303.70001,-0.004915,15
93436,20171206,TSLA,TESLA INC,313.26001,0.031478,15
93436,20171207,TSLA,TESLA INC,311.23999,-0.006448,15
93436,20171208,TSLA,TESLA INC,315.13000,0.012498,15
93436,20171211,TSLA,TESLA INC,328.91000,0.043728,15
93436,20171212,TSLA,TESLA INC,341.03000,0.036849,15
93436,20171213,TSLA,TESLA INC,339.03000,-0.005865,15
93436,20171214,TSLA,TESLA INC,337.89001,-0.003362,15
93436,20171215,TSLA,TESLA INC,343.45001,0.016455,15
93436,20171218,TSLA,TESLA INC,338.87000,-0.013335,15
93436,20171219,TSLA,TESLA INC,331.10001,-0.022929,15
93436,20171220,TSLA,TESLA INC,328.98001,-0.006403,15
93436,20171221,TSLA,TESLA INC,331.66000,0.008146,15
93436,20171222,TSLA,TESLA INC,325.20001,-0.019478,15
93436,20171226,TSLA,TESLA INC,317.29001,-0.024324,15
93436,20171227,TSLA,TESLA INC,311.64001,-0.017807,15
93436,20171228,TSLA,TESLA INC,315.35999,0.011937,15
93436,20171229,TSLA,TESLA INC,311.35001,-0.012716,15
93436,20180102,TSLA,TESLA INC,320.53000,0.029484,15
93436,20180103,TSLA,TESLA INC,317.25000,-0.010233,15
93436,20180104,TSLA,TESLA INC,314.62000,-0.008290,15
93436,20180105,TSLA,TESLA INC,316.57999,0.006230,15
